id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
91	11	903	905	1009	6	0	106	100	2
27	11	239	246	1064	7	0	825	818	7
23	11	217	221	1083	7	0	866	859	4
68	12	683	683	1242	12	1	559	547	0
39	13	382	382	1895	17	0	1513	1496	0
87	15	878	878	2683	23	0	1805	1782	0
81	17	819	819	3276	44	78	2457	2413	0
83	17	842	842	3519	30	0	2677	2647	0
61	18	630	630	3847	36	20	3217	3181	0
49	19	490	490	4034	43	16	3544	3501	0
74	22	724	728	5418	61	68	4694	4633	4
50	22	512	512	5433	57	30	4921	4864	0
82	23	829	829	5851	55	9	5022	4967	0
89	26	887	887	6765	71	39	5878	5807	0
30	27	286	286	7391	71	0	7105	7034	0
29	29	277	277	7796	95	88	7519	7424	0
71	31	707	707	8811	95	9	8104	8009	0
54	31	555	555	8832	92	16	8277	8185	0
6	32	38	38	8929	107	48	8891	8784	0
85	32	844	848	9104	109	121	8260	8151	4
28	33	242	254	9264	105	70	9022	8917	12
0	0	0	-1	10003	10003	0	10003	0	-1
