id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
12	10	193	682	818	136	0	625	489	489
3	10	51	242	1532	123	11	1481	1358	191
24	10	306	1763	1797	34	0	1491	1457	1457
36	10	424	2305	2313	8	0	1889	1881	1881
46	10	504	2834	2869	35	0	2365	2330	2330
8	10	107	448	3062	104	74	2955	2851	341
60	10	635	3411	3441	30	0	2806	2776	2776
61	10	640	3441	3536	95	0	2896	2801	2801
71	10	747	4523	4583	60	0	3836	3776	3776
88	10	925	5537	5550	13	0	4625	4612	4612
96	10	1000	5816	5827	11	0	4827	4816	4816
15	10	222	1020	6059	48	7	5837	5789	798
28	10	365	1909	6766	34	67	6401	6367	1544
30	10	382	2028	6892	138	80	6510	6372	1646
32	10	408	2122	7022	136	19	6614	6478	1714
37	10	439	2313	7238	69	16	6799	6730	1874
44	10	474	2778	7889	80	9	7415	7335	2304
45	10	492	2803	8042	58	6	7550	7492	2311
49	10	526	2920	8182	141	5	7656	7515	2394
48	10	525	2918	8410	40	49	7885	7845	2393
53	10	581	2960	8538	29	60	7957	7928	2379
56	10	600	3062	8781	347	18	8181	7834	2462
9	10	154	521	8940	146	49	8786	8640	367
65	10	684	3775	9372	117	28	8688	8571	3091
68	10	699	4273	9573	249	39	8874	8625	3574
69	10	712	4474	9639	113	2	8927	8814	3762
70	10	741	4521	9662	25	9	8921	8896	3780
73	10	750	4685	9903	195	27	9153	8958	3935
0	0	0	-1	10007	10007	0	10007	0	-1
