id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	10	63	169	179	10	0	116	106	106
40	10	415	419	478	25	18	63	38	4
52	10	518	529	539	10	0	21	11	11
24	10	287	295	647	64	157	360	296	8
55	10	532	539	656	40	24	124	84	7
60	10	588	602	665	10	47	77	67	14
76	10	740	769	876	29	43	136	107	29
67	10	646	1178	1305	64	34	659	595	532
16	10	208	1373	1496	53	25	1288	1235	1165
7	10	94	1339	1630	49	177	1536	1487	1245
89	10	910	1538	1645	51	15	735	684	628
90	10	911	1666	1704	38	0	793	755	755
44	10	481	2054	2097	43	0	1616	1573	1573
12	10	178	502	2252	70	5	2074	2004	324
18	10	219	2006	2370	126	107	2151	2025	1787
35	10	394	2325	2890	218	152	2496	2278	1931
25	10	295	2831	3034	95	21	2739	2644	2536
65	10	627	1246	3347	82	33	2720	2638	619
70	10	668	690	3980	110	97	3312	3202	22
50	10	505	4307	4365	58	0	3860	3802	3802
74	10	711	1150	4784	338	163	4073	3735	439
71	10	669	700	4961	76	5	4292	4216	31
66	10	640	4841	5182	131	61	4542	4411	4201
72	10	685	687	5819	136	37	5134	4998	2
86	10	865	876	5861	177	85	4996	4819	11
75	10	717	813	6255	284	373	5538	5254	96
97	10	981	1025	6513	132	35	5532	5400	44
68	10	662	6657	6807	76	34	6145	6069	5995
27	10	322	326	7061	266	155	6739	6473	4
10	10	136	6729	7065	124	44	6929	6805	6593
22	10	264	7141	7217	76	0	6953	6877	6877
53	10	523	7306	7437	108	16	6914	6806	6783
54	10	526	1750	7479	240	245	6953	6713	1224
93	10	941	1124	7761	294	106	6820	6526	183
8	10	102	547	7873	337	196	7771	7434	445
14	10	181	5106	8129	192	38	7948	7756	4925
47	10	492	8198	8279	81	0	7787	7706	7706
91	10	921	1208	8314	203	76	7393	7190	287
13	10	179	8314	8479	82	3	8300	8218	8135
38	10	406	8616	8700	84	0	8294	8210	8210
61	10	593	8395	8798	154	77	8205	8051	7802
43	10	460	8479	8927	209	54	8467	8258	8019
20	10	238	256	9232	188	112	8994	8806	18
9	10	113	179	9383	106	45	9270	9164	66
32	10	378	5987	9444	284	171	9066	8782	5609
11	10	172	9531	9619	88	0	9447	9359	9359
64	10	622	740	9880	246	37	9258	9012	118
0	0	0	0	10021	10008	0	10021	13	0
