id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	10	35	80	90	10	0	55	45	45
14	10	103	280	295	15	0	192	177	177
22	10	220	516	522	6	0	302	296	296
33	10	317	802	813	11	0	496	485	485
16	10	123	368	1025	27	10	902	875	245
45	10	479	1182	1185	3	0	706	703	703
26	10	255	621	3067	58	22	2812	2754	366
37	10	365	931	3727	25	21	3362	3337	566
21	10	218	496	4294	45	13	4076	4031	278
74	10	783	1909	5082	57	0	4299	4242	1126
40	10	383	994	5499	79	0	5116	5037	611
44	10	454	1142	5769	73	9	5315	5242	688
96	10	1173	2611	5779	36	14	4606	4570	1438
19	10	199	471	5869	70	12	5670	5600	272
55	10	563	1378	6131	42	56	5568	5526	815
2	10	5	8	6462	151	66	6457	6306	3
76	10	821	1969	6716	59	128	5895	5836	1148
86	10	961	2282	6909	64	0	5948	5884	1321
11	10	79	207	7519	105	5	7440	7335	128
58	10	605	1472	7566	59	21	6961	6902	867
25	10	245	601	7616	112	4	7371	7259	356
32	10	313	782	7993	97	21	7680	7583	469
5	10	45	90	8012	145	17	7967	7822	45
79	10	889	2079	8088	54	21	7199	7145	1190
88	10	1013	2362	8376	83	21	7363	7280	1349
99	10	1206	2659	8824	92	141	7618	7526	1453
62	10	662	1598	9064	70	44	8402	8332	936
82	10	923	2142	9526	113	5	8603	8490	1219
0	0	0	-1	10003	10003	0	10003	0	-1
