id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
91	10	891	947	1040	93	0	149	56	56
64	10	564	1482	1665	183	0	1101	918	918
8	10	99	1665	1692	27	0	1593	1566	1566
94	10	930	3851	4578	38	62	3648	3610	2921
98	10	972	1310	4689	67	27	3717	3650	338
43	10	381	4774	4918	144	0	4537	4393	4393
24	10	242	3880	5376	59	5	5134	5075	3638
12	10	132	2923	5382	6	5	5250	5244	2791
79	10	745	6148	6187	39	0	5442	5403	5403
38	10	334	6411	6451	40	0	6117	6077	6077
72	10	674	7419	7427	8	0	6753	6745	6745
82	10	751	5376	7634	39	27	6883	6844	4625
71	10	671	7427	7835	51	3	7164	7113	6756
90	10	881	915	8933	105	28	8052	7947	34
30	10	275	2043	9006	73	21	8731	8658	1768
81	10	749	4918	9068	149	53	8319	8170	4169
50	10	459	2936	9367	176	93	8908	8732	2477
36	10	317	7391	9446	46	37	9129	9083	7074
42	10	374	4946	9770	181	105	9396	9215	4572
0	0	0	-1	10001	10001	0	10001	0	-1
